Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.048309214,6.20E-05,2.33E-03
0.000226408,0.044045828,-0.019679954,2.33E-03
0.000452816,0.031996176,-0.035862811,2.31E-03
0.000679224,0.01436042,-0.0455928,2.28E-03
0.000905632,-0.00568055,-0.047172003,2.26E-03
0.001132039,-0.024564259,-0.040371992,2.23E-03
0.001358447,-0.038980916,-0.026428744,2.22E-03
0.001584855,-0.046424847,-0.007791037,2.22E-03
0.001811263,-0.045589581,0.012308185,2.23E-03
0.002037671,-0.036567375,0.030382905,2.26E-03
0.002264079,-0.020785859,0.043464374,2.32E-03
0.002490487,-0.000962901,0.048773058,2.38E-03
0.002716895,0.019455766,0.045432963,2.44E-03
0.002943303,0.036829539,0.033869159,2.50E-03
0.003169711,0.047964454,0.016002983,2.56E-03
0.003396118,0.050713114,-0.004975768,2.60E-03
0.003622526,0.044453777,-0.025414646,2.62E-03
0.003848934,0.030208187,-0.041485999,2.63E-03
0.004075342,0.010479634,-0.05025072,2.63E-03
0.00430175,-0.01110416,-0.050003935,2.62E-03
0.004528158,-0.030870484,-0.040887941,2.62E-03
0.004754566,-0.045233384,-0.024335876,2.64E-03
0.004980974,-0.051594295,-0.003172341,2.67E-03
0.005207382,-0.048704825,0.018967165,2.73E-03
0.00543379,-0.036879949,0.038432274,2.84E-03
0.005660197,-0.017866517,0.051352326,2.96E-03
0.005886605,0.005128209,0.055425923,3.10E-03
0.006113013,0.028155187,0.049617205,3.25E-03
0.006339421,0.047085397,0.034596562,3.41E-03
0.006565829,0.058361895,0.012725482,3.57E-03
0.006792237,0.059541568,-0.012127065,3.69E-03
0.007018645,0.050126042,-0.035733003,3.79E-03
0.007245053,0.031490907,-0.053548254,3.86E-03
0.007471461,0.006873011,-0.062006589,3.89E-03
0.007697868,-0.019545175,-0.0595393,3.93E-03
0.007924276,-0.042957585,-0.046091862,3.97E-03
0.008150684,-0.059009861,-0.023724986,4.05E-03
0.008377092,-0.064524844,0.003874546,4.18E-03
0.0086035,-0.05805428,0.031993039,4.39E-03
