Unnamed: 0,Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.0,0.0374427065,0.0,0.0014019562700451
1,0.000226619297,0.0334432237,-0.0162281133,0.0013818008727258
2,0.000453238594,0.0227402896,-0.0284738094,0.0013278785928393
3,0.000679857875,0.00842695963,-0.0344224945,0.0012559217762081
4,0.000906477188,-0.00618134579,-0.0338324122,0.0011828411510462
5,0.0011330965,-0.0186121855,-0.0278382711,0.0011213827869235
6,0.00135971575,-0.0274337176,-0.0180719513,0.0010792042851461
7,0.001586335,-0.0319802612,-0.00614096643,0.0010604485751146
8,0.00181295438,-0.0320133641,0.00652582804,0.0010674419126068
9,0.00203957362,-0.0274833068,0.0185814034,0.0011006007049764
10,0.002266193,-0.0185417049,0.0285445806,0.0011585879022285
11,0.00249281225,-0.00579155609,0.0347038433,0.0012378988617345
12,0.0027194315,0.00932926312,0.0352621451,0.0013304540274156
13,0.00294605075,0.0242004506,0.0289086085,0.0014213694546493
14,0.00317267,0.0351973958,0.0158272441,0.0014893583269028
15,0.0033992895,0.0388600528,-0.00111088692,0.0015113377733678
16,0.00362590875,0.0341278985,-0.0181179773,0.0014929745574696
17,0.003852528,0.0224022716,-0.0304464605,0.0014288487298182
18,0.00407914725,0.00726990029,-0.0359314159,0.0013439180988053
19,0.0043057665,-0.00774057768,-0.0346285254,0.0012590513141985
20,0.004532386,-0.0201892536,-0.0279541984,0.0011890431691116
21,0.004759005,-0.028797958,-0.01769129,0.0011423041268338
22,0.0049856245,-0.0330681615,-0.00547493715,0.0011234782417865
23,0.0052122435,-0.0329100229,0.007341119,0.0011369616354506
24,0.005438863,-0.028299557,0.0195863154,0.0011844886773445
25,0.0056654825,-0.0192800127,0.0299111959,0.0012663985298803
26,0.0058921015,-0.00623300951,0.0366607048,0.0013828576839844
27,0.006118721,0.00972699933,0.0378822796,0.0015296816236583
28,0.00634534,0.0262123179,0.0317159407,0.0016929865041765
29,0.0065719595,0.0380588919,0.0177571792,0.0017637966657967
30,0.006798579,0.04354674,-0.00153598958,0.0018986778286174
31,0.007025198,0.0382909812,-0.0213048868,0.0019200974428195
32,0.0072518175,0.0242418386,-0.0355950445,0.0018546739316654
33,0.0074784365,0.00614711596,-0.041222658,0.0017370945672106
34,0.007705056,-0.0111873522,-0.0384793803,0.0016058195575188
35,0.0079316755,-0.0247292984,-0.0296253785,0.0014892012506245
36,0.0081582945,-0.0332538858,-0.0172224306,0.0014024330365712
37,0.008384914,-0.0366105326,-0.00336615648,0.0013516621067035
38,0.008611533,-0.035079997,0.0103646936,0.0013380330629418
39,0.008838152,-0.0292502549,0.0227544587,0.0013733428024449
40,0.009064772,-0.0193154998,0.0329290554,0.00145741122206
41,0.009291391,-0.00572585454,0.0394816883,0.0015915891212315
42,0.00951801,0.0105204061,0.0408747047,0.0017814204288211
43,0.00974463,0.0273998864,0.0349443108,0.0019718586320199
44,0.009971249,0.0423086099,0.0210740417,0.0022341337052437
45,0.010197868,0.0500530116,0.000174190514,0.0025053343125649
46,0.010424487,0.0464141667,-0.0234923884,0.0027061671831918
47,0.010651107,0.0308397617,-0.0428099073,0.0027837790647473
48,0.010877726,0.00791149028,-0.0516534746,0.0027306731167033
49,0.011104345,-0.0152888922,-0.0485194959,0.0025878917070933
50,0.011330965,-0.0332470611,-0.0361799672,0.0024143570983802
51,0.011557584,-0.0435929149,-0.0188736878,0.0022565583206505
52,0.011784203,-0.0462646447,-0.000242655457,0.002140476230888
53,0.012010823,-0.0422132723,0.017187776,0.0020773800021001
54,0.012237442,-0.0326240063,0.0317306817,0.0020711619482091
55,0.012464061,-0.018758066,0.0420665853,0.0021214626388625
56,0.01269068,-0.00176519901,0.0474448167,0.0022541265592415
57,0.0129173,0.0170676857,0.0464902744,0.0024526515089412
58,0.013143919,0.0356230214,0.0381086431,0.002721268332588
59,0.013370538,0.050881248,0.0218074415,0.0030644659028134
