Unnamed: 0,Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.0,0.0380158387,0.0,0.0014452039920644
1,0.000226388453,0.0339644291,-0.0164633393,0.0014246239849958
2,0.000452776906,0.0231167749,-0.0288997646,0.0013695816757126
3,0.000679165375,0.00859516952,-0.0349594504,0.0012960401113475
4,0.000905553813,-0.00624360144,-0.034384273,0.00122126078868
5,0.00113194225,-0.0188854095,-0.0283131357,0.0011582923451493
6,0.00135833075,-0.0278667007,-0.0183973555,0.0011150156972967
7,0.00158471912,-0.0325024836,-0.00627098186,0.0010957366536567
8,0.00181110763,-0.0325446315,0.00660868129,0.0011028277078635
9,0.002037496,-0.0279427413,0.0188657679,0.0011367139898153
10,0.0022638845,-0.0188560355,0.0289908424,0.0011960190178388
11,0.002490273,-0.00590482727,0.0352452621,0.0012770954855862
12,0.0027166615,0.00944464747,0.0358113162,0.0013716517338089
13,0.00294304975,0.024532849,0.0293694381,0.0014644245743665
14,0.00316943825,0.0356933698,0.016114952,0.0015337083256418
15,0.00339582675,0.0394318029,-0.00104036345,0.0015559494360525
16,0.00362221525,0.0346781053,-0.0183060244,0.0015376815165312
17,0.00384860375,0.0228203647,-0.0308441389,0.0014721299495234
18,0.004074992,0.00748283416,-0.036458496,0.001385214737648
19,0.0043013805,-0.00775994221,-0.0351848081,0.0012981874241363
20,0.004527769,-0.020423213,-0.0284456704,0.0012262637937488
21,0.0047541575,-0.0291969851,-0.0180456825,0.0011781105958204
22,0.004980546,-0.0335652828,-0.00564694451,0.0011585161917429
23,0.0052069345,-0.0334313996,0.0073702354,0.0011719788490662
24,0.005433323,-0.028772492,0.0198103152,0.0012203048842134
25,0.0056597115,-0.0196364745,0.0303016044,0.0013037783600032
26,0.0058860995,-0.00641604001,0.0371661708,0.0014224898213446
27,0.006112488,0.00975434389,0.0384311602,0.0015721012990424
28,0.0063388765,0.026455855,0.0322235338,0.0017382683943407
29,0.006565265,0.0384761468,0.0181123279,0.0018084702945322
30,0.0067916535,0.0441180766,-0.00136629911,0.0019482714561414
31,0.007018042,0.0388980396,-0.0214046706,0.0019712174082176
32,0.0072444305,0.0247465372,-0.0359519832,0.001904936199404
33,0.007470819,0.0064427536,-0.0417549387,0.001784983979791
34,0.0076972075,-0.0111453859,-0.0390680842,0.0016505348299182
35,0.007923596,-0.0249231383,-0.030159032,0.0015307300338979
36,0.008149984,-0.0336265564,-0.0176214483,0.0014412607355119
37,0.0083763725,-0.0370897204,-0.00358666223,0.0013885115053022
38,0.008602761,-0.035594102,0.010336915,0.0013737919089036
39,0.00882915,-0.0297312606,0.0229099356,0.0014088130060612
40,0.009055538,-0.0197102465,0.033245571,0.0014937618082068
41,0.009281926,-0.00598496851,0.0399246328,0.0016297961522805
42,0.009508315,0.0104468418,0.041402299,0.0018232868660796
43,0.009734703,0.0274713989,0.0355128869,0.0020158428934951
44,0.009961092,0.0426135622,0.0215708967,0.0022812192678153
45,0.01018748,0.0505687483,0.000524419767,0.0025574733207207
46,0.010413869,0.047076229,-0.0233894046,0.0027632355844029
47,0.010640257,0.0315102302,-0.0430242531,0.0028439809620698
48,0.010866646,0.00841849111,-0.05215865,0.0027913957623916
49,0.011093034,-0.0150670912,-0.0491882786,0.0026465039888603
50,0.011319423,-0.0333330743,-0.0368526354,0.0024692105782146
51,0.011545811,-0.0439306013,-0.019424038,0.002307190982805
52,0.011772199,-0.046764195,-0.000600641128,0.0021872507037626
53,0.011998588,-0.0427848548,0.0170455985,0.0021210962284802
54,0.012224976,-0.0331918485,0.0317976847,0.0021127915591275
55,0.012451365,-0.0192574803,0.0423156209,0.0021614623196574
56,0.012677753,-0.00216044206,0.0478520505,0.0022944862469491
57,0.012904142,0.0168209635,0.0470238216,0.0024941846109369
58,0.01313053,0.0355640687,0.0387280881,0.0027646677903796
59,0.013356919,0.0510514528,0.0224526878,0.0031103740224348
60,0.013583307,0.0590829737,-0.000610116753,0.0034911700236871
61,0.013809696,0.0561769381,-0.0273754001,0.0039052609049263
62,0.014036084,0.0401255228,-0.0515137985,0.0042637290158719
63,0.014262472,0.0133089367,-0.065781571,0.0045043428793126
64,0.014488861,-0.0175224524,-0.0655217767,0.0046001395600349
65,0.014715249,-0.0443058498,-0.0511110947,0.0045753523279325
66,0.014941638,-0.0612847544,-0.0270611849,0.0044881288500603
67,0.015168026,-0.0663331971,0.000793797954,0.0044007231526992
68,0.015394415,-0.0600830913,0.0274191275,0.0043617864130253
69,0.015620803,-0.0445306711,0.0492042191,0.0044040358458571
70,0.015847192,-0.0221514031,0.0637088344,0.0045495002399053
71,0.01607358,0.00437153922,0.0692623854,0.0048163883864501
72,0.016299968,0.0321445763,0.0647449121,0.0052251774283432
73,0.016526357,0.0577478968,0.0494668223,0.0057817860932832
74,0.016752745,0.0769285634,0.0238252599,0.0064856468760903
75,0.016979134,0.0849834457,-0.00987172313,0.0073196369606002
76,0.017205522,0.0778096765,-0.0467107855,0.0082362432390616
77,0.01743191,0.0537446812,-0.0792044997,0.0091618435300169
78,0.0176583,0.0154334111,-0.0988727435,0.0100140095853983
79,0.017884688,-0.0297530834,-0.0992491841,0.010735646516323
80,0.018111076,-0.0717083588,-0.0786605999,0.0113295786984174
81,0.018337464,-0.101013869,-0.0408403501,0.0118717359266397
82,0.018563852,-0.111593768,0.0068199411,0.0124996806530452
83,0.018790242,-0.101395056,0.0557952039,0.0133940621594857
84,0.01901663,-0.0716158152,0.0981927812,0.0147706472665516
85,0.019243018,-0.025642056,0.127405226,0.0168896066480182
86,0.019469406,0.0316050015,0.138124958,0.0200773801423167
87,0.019695796,0.0938354805,0.126290679,0.0247544330029469
88,0.019922184,0.15317367,0.0892643929,0.0314303050210744
89,0.020148572,0.199896142,0.026813779,0.040677446330745
90,0.02037496,0.223150373,-0.0573658347,0.0530869279608668
91,0.02060135,0.21284923,-0.154440194,0.0691565682343505
92,0.020827738,0.162623391,-0.250417858,0.089155470905647
93,0.021054126,0.0728405118,-0.328234106,0.1130433685009051
94,0.021280514,-0.0480549708,-0.371765494,0.1405188627476528
95,0.021506902,-0.185060099,-0.370077044,0.1712042587376677
96,0.021733292,-0.320364147,-0.319759637,0.2048794121374093
97,0.02195968,-0.437272817,-0.224526122,0.2416194959474743
98,0.022186068,-0.52266252,-0.0935426205,0.2819263316627574
99,0.022412456,-0.569056869,0.0629376769,0.3277868713296519
100,0.022638846,-0.569879353,0.234001502,0.3795191799139547
101,0.022865234,-0.5216043,0.407513499,0.438138297645713
102,0.023091622,-0.422905684,0.570639908,0.5044791221617563
103,0.02331801,-0.275085747,0.709344327,0.5788415424496309
104,0.023544398,-0.0832725987,0.808453143,0.6605308101208297
105,0.023770788,0.142022461,0.852818012,0.7474689410201286
106,0.023997176,0.383847207,0.829874039,0.8360295989278744
107,0.024223564,0.619410872,0.733242452,0.9213143217667727
108,0.024449952,0.823161423,0.566041768,0.9979980114359506
109,0.024676342,0.971924603,0.342006534,1.0616059032154008
110,0.02490273,1.05014372,0.0832070038,1.1097252381368112
111,0.025129118,1.05280852,-0.184930429,1.1426050433547144
112,0.025355506,0.984873891,-0.438977301,1.1626776519667243
113,0.025581894,0.858006179,-0.661036134,1.173143373655846
114,0.025808284,0.686667383,-0.839496553,1.1762665573749504
115,0.026034672,0.484561861,-0.968196273,1.172204220186874
116,0.02626106,0.264022678,-1.04608881,1.164009772905508
117,0.026487448,0.0370239764,-1.07410777,1.1550782764028404
118,0.026713838,-0.185970753,-1.05390692,1.1453049169952734
119,0.026940226,-0.395487458,-0.988434851,1.1334137841066938
120,0.027166614,-0.58259201,-0.882290483,1.1178499465082137
121,0.027393002,-0.739207149,-0.742161334,1.0972306548173676
122,0.027619392,-0.859043837,-0.576959491,1.0708385681426615
123,0.02784578,-0.938759685,-0.39723289,1.0390637150790512
124,0.028072168,-0.978711784,-0.213755354,1.003568107504128
125,0.028298556,-0.982761621,-0.0356625654,0.9670922222814567
126,0.028524944,-0.957853913,0.131509498,0.9347788667136236
127,0.028751334,-0.911696374,0.282718569,0.9111200676221556
128,0.028977722,-0.849146783,0.418496817,0.8961898449183806
129,0.02920411,-0.775395095,0.539180517,0.8919531832624464
130,0.029430498,-0.687282562,0.644493639,0.8877293707407462
131,0.029656888,-0.58498162,0.742462575,0.893454171013455
132,0.029883276,-0.470257133,0.830984056,0.9116762724635908
133,0.030109664,-0.341011763,0.906919718,0.9387923974015676
134,0.030336052,-0.196166798,0.965995848,0.971629390990812
135,0.03056244,-0.0367203131,1.00266457,1.006684621327447
