,STD(n_D)
0,10.639670444292843
1,7.977018112565821
2,6.303428918573751
3,5.148752865077468
4,4.318620316285211
5,3.6858592799558743
6,3.191394779804113
7,2.787613554156542
8,2.4653501149443406
9,2.196932912853199
10,1.9676705213010028
11,1.7735589164521675
12,1.6077635457408215
13,1.4589260702558415
14,1.327939775825763
15,1.221956638325356
16,1.116198215833235
17,1.0280536516004128
18,0.9510663096821687
19,0.8782805750858564
20,0.8126091163760091
21,0.7481959270708919
22,0.7058343523176728
23,0.6539891138802637
24,0.6052289167503755
25,0.5717791263792896
26,0.5306455805448537
27,0.4931039100467463
28,0.46568811755585593
29,0.4339065826969547
30,0.40969216292011756
31,0.3868420272858063
32,0.3645957574744434
33,0.34130160975465357
34,0.3224118029600207
35,0.3051089512006977
36,0.28778369034703305
37,0.267308421342815
38,0.26532923070203457
39,0.24078903279462
40,0.22795772722691318
41,0.2134467300038702
42,0.20178362535610717
43,0.1889907987120014
44,0.18311371142508365
45,0.17459797122201767
46,0.16588064680999223
47,0.1602530051120267
48,0.14992868809486934
49,0.14556808885587075
50,0.13599785323082
51,0.1298281391510656
52,0.12319178849795415
53,0.11784597461358932
54,0.103369529354835
55,0.10690071783506709
56,0.09774119674347105
57,0.09694069192152992
58,0.08807625890250888
59,0.08187329189917404
60,0.08399496329908143
61,0.08306208562872171
62,0.07170818585495062
63,0.06977853785774996
64,0.06016277851801809
65,0.05648279356939651
66,0.06394563488290612
67,0.05751750102105992
68,0.0532911848241527
69,0.057862791928241994
70,0.046655497548036655
71,0.04707637020349855
72,0.051441420596875995
73,0.0418122311498995
74,0.04667223794956138
75,0.03841397775070081
76,0.03632891267310926
77,0.037912481643563804
78,0.03468998825989211
79,0.027823395476943735
80,0.035259538446991194
81,0.02564657336424239
82,0.02640446752747457
83,0.029881088702619164
84,0.025669407534099513
85,0.02490482834617626
86,0.021550097084040404
87,0.022446733936445157
88,0.023308904832607436
89,0.020652356960289022
90,0.02066181100379646
91,0.022481508138449742
92,0.021604402328692224
93,0.021613439937256815
94,0.02069958399877224
95,0.013946748682761799
96,0.017665734266745937
97,0.015308545484255375
98,0.018759475824411495
99,0.01655872370887664
100,0.014016587620642453
101,0.014030513692254932
102,0.016594067876537413
103,0.01538489780570384
104,0.012608270228393139
105,0.012623750001231435
106,0.006524865332958121
107,0.01665280812350158
108,0.00907819550553062
109,0.011039149139251093
110,0.012700865868145367
111,0.006672840273846512
112,0.009163840756050912
113,0.011109687551153343
114,0.006760070646412325
115,0.01277751632781775
116,0.012792791307961491
117,0.006846189667888492
118,0.009290828437265157
119,0.006903005494095659
120,0.011232063883102366
121,0.006959357494361572
