,STD(n_D)
0,5.321627179125139
1,3.9877997741840967
2,3.150009983468794
3,2.576119069705572
4,2.159001479524958
5,1.8426448625733212
6,1.5947348306300348
7,1.3953550481891543
8,1.2328991225460741
9,1.0976805232183062
10,0.983507121129892
11,0.8860962131286582
12,0.8022675667918444
13,0.7289854413449477
14,0.6649358338035524
15,0.608849732792576
16,0.5590825848378547
17,0.5145073960925087
18,0.47511947606956273
19,0.4390764909349948
20,0.4063546939963231
21,0.37767742023307727
22,0.3512078759035527
23,0.32719506429339906
24,0.3042061420029606
25,0.28457795078989206
26,0.2662356889383645
27,0.24937164826443864
28,0.23329337958209226
29,0.21880822827499516
30,0.20554187122378006
31,0.19334370759878589
32,0.18159449970805974
33,0.17083503884638251
34,0.16091118523252484
35,0.15179221979290508
36,0.14334738823739204
37,0.13523584261686586
38,0.12736507255587842
39,0.12053431754886418
40,0.11400137239509299
41,0.10800024667259879
42,0.10197395509163641
43,0.09643179755348702
44,0.09157519977617636
45,0.0869923471573239
46,0.08201743107987008
47,0.0780472276917316
48,0.07398447531200636
49,0.07040673712109288
50,0.0664978208284264
51,0.06393541618647736
52,0.0602959034119157
53,0.05744482924655559
54,0.0546214954260557
55,0.05185162753617015
56,0.04940932846666057
57,0.0470193336359911
58,0.044517620789083535
59,0.04251477788956576
60,0.04062969439336315
61,0.03845965892719736
62,0.03691137703213882
63,0.03521907301422711
64,0.033280239985237714
65,0.03200890239334482
66,0.030135002243614442
67,0.02905017141623964
68,0.027580133793746346
69,0.026588640827744266
70,0.025105753778616607
71,0.024139063121190435
72,0.022925280255299
73,0.021399641102214935
74,0.021416804038798542
75,0.020075318945242
76,0.0196264817206473
77,0.018826572045299438
78,0.017235712436926356
79,0.01628158845249058
80,0.01603995455237731
81,0.0155688841675779
82,0.01472270648778229
83,0.014156386170375753
84,0.013275391919203135
85,0.012797946109659696
86,0.012132125515405566
87,0.012051464866747345
88,0.011190215179324855
89,0.010550236048316324
90,0.010387106790939194
91,0.00985658910521343
92,0.010077166143116587
93,0.009029528658857115
94,0.008529118041902355
95,0.008572089039749584
96,0.0077179838961347795
97,0.007936476004719365
98,0.00771830021343224
99,0.0069705366582270365
100,0.006404883995308585
101,0.006270248247866195
102,0.005720727533628469
103,0.005951023854401093
104,0.0054591160524639195
105,0.005613675867150916
106,0.005392069759108011
107,0.004943504038652967
108,0.004894118633091973
109,0.004531766102300508
110,0.004664765407379768
111,0.00436771767264361
112,0.004478387185609587
113,0.0037028097968969565
114,0.003927112050751723
115,0.003801065338365408
116,0.003465423098580818
117,0.0036376214140705293
118,0.003358813103611951
119,0.003014435800322849
120,0.0025305621028349485
121,0.0026718159534285125
