,STD(n_D)
0,6.082451236145431
1,4.557355051707076
2,3.599452718247253
3,2.9411061980685034
4,2.4660358911052795
5,2.105124228054994
6,1.8222288465030274
7,1.5951639813651284
8,1.4105751848848487
9,1.2542959848450737
10,1.1226249778770983
11,1.0136458998173232
12,0.9161424250307777
13,0.8317210441192417
14,0.7595136422703996
15,0.6960337089322568
16,0.6403558223350762
17,0.5880027065266887
18,0.5396684671815695
19,0.4994217037944995
20,0.46451350902074695
21,0.43175573207138773
22,0.40154003184824816
23,0.37227942691830207
24,0.3474148717880382
25,0.3252957474472055
26,0.3052644615438142
27,0.2857532004552205
28,0.2666418724220213
29,0.24962132018034988
30,0.2345075533590003
31,0.22028695535824824
32,0.20712345307732266
33,0.19539090727521766
34,0.1840422233067908
35,0.17250229260977823
36,0.16290461208753407
37,0.1536428841379378
38,0.14475282914843754
39,0.1379018629207007
40,0.13110584820300208
41,0.12307791358677159
42,0.1188433582937721
43,0.10967695518035281
44,0.10525952100494718
45,0.09849443638882426
46,0.09408312611707571
47,0.08762010661859077
48,0.08315779287374585
49,0.08215034733764089
50,0.07579626072241213
51,0.07038364133439973
52,0.06843394734247665
53,0.06516112903541699
54,0.061579885239898394
55,0.06045407283228598
56,0.056796052151210634
57,0.052291686103122265
58,0.05264924229369405
59,0.04788595988518959
60,0.046920011435174776
61,0.043031498611418396
62,0.041705031082109184
63,0.040334964514362505
64,0.03783145266371684
65,0.03722164414284593
66,0.03573814561975758
67,0.034251187232101736
68,0.03119757619196568
69,0.030455225205260134
70,0.02712922235159772
71,0.028184030196741157
72,0.02682200470491286
73,0.024806223228453366
74,0.024383760617927148
75,0.023248026459630526
76,0.023069099457101703
77,0.023070002056998645
78,0.019553621308615713
79,0.01879452440576679
80,0.018795632279528008
81,0.017654242823298732
82,0.016933010537094673
83,0.013969579979380363
84,0.01618094704221589
85,0.015525531172733212
86,0.014557889941668192
87,0.012727907399733122
88,0.011707014263318617
89,0.012731178934911103
90,0.01305578767732143
91,0.010978208373762786
92,0.009776278191782378
93,0.011354883488992775
94,0.008406653116238092
95,0.009121787447999472
96,0.009569622826896293
97,0.009351727721131263
98,0.008416554949018136
99,0.00736355777118021
100,0.007366385015581249
101,0.009135473558393664
102,0.00764927665348
103,0.009799679174039646
104,0.008431385894351578
105,0.006479067020619864
106,0.007660157564604022
107,0.006156060828734216
108,0.004613097740861618
109,0.004142197615742505
110,0.004147221507965834
111,0.007110359344056769
112,0.005060806871140194
113,0.005460579288171036
114,0.0022073700069917797
115,0.0036391148855650013
116,0.0036448322730425176
117,0.004653544573890549
118,0.00508543381400337
119,0.003040595815999824
120,0.004666948954724136
121,0.004202087917585856
