,STD(phi_D)
0,1.2220586001707412e-06
1,2.3896717189657555e-06
2,3.868251292351959e-06
3,5.586488391079786e-06
4,7.518277777951217e-06
5,9.661060271610725e-06
6,1.1912381840426832e-05
7,1.4152921031597477e-05
8,1.70390717616216e-05
9,1.9805745727654406e-05
10,2.237241121629949e-05
11,2.543379047583699e-05
12,2.8542012935790384e-05
13,3.140355820990011e-05
14,3.3595895062660835e-05
15,3.733645491418225e-05
16,4.014499001653184e-05
17,4.267575101680948e-05
18,4.6443941089760024e-05
19,4.9067485419047965e-05
20,5.164899023716136e-05
21,5.428554784499375e-05
22,5.76553650848561e-05
23,6.014274601121916e-05
24,6.164549569527661e-05
25,6.575532768282701e-05
26,6.762002474861183e-05
27,7.007539732316017e-05
28,7.224543087699825e-05
29,7.557273887900067e-05
30,7.623921351759781e-05
31,7.894652601682949e-05
32,8.244768954720736e-05
33,8.3134534603164e-05
34,8.563486264150865e-05
35,8.695869078498068e-05
36,8.901161067412739e-05
37,8.980232571582919e-05
38,9.497708117834772e-05
39,9.307692244208355e-05
40,9.39956087897561e-05
41,9.478157611108828e-05
42,9.567825394913784e-05
43,9.63240171649807e-05
44,9.954350287523615e-05
45,0.00010076228994490807
46,0.0001023302485196294
47,0.00010634302853136108
48,0.00010417819928378907
49,0.0001069882713804828
50,0.0001063642333988837
51,0.00010690748385888971
52,0.00010682339788999622
53,0.00010819023035518862
54,0.00010060072926929654
55,0.00010863433281193736
56,0.00010413153567570487
57,0.00011001586549780869
58,0.00010559160262487174
59,0.00010230897485054417
60,0.00011001488632304009
61,0.00011280259027181169
62,0.0001029732557914963
63,0.00010411464664116222
64,9.397015871719363e-05
65,9.337295299758478e-05
66,0.00010906174064552246
67,0.00010244261637429447
68,9.902636061062439e-05
69,0.00011213261520583662
70,9.415230538640708e-05
71,9.895742142322285e-05
72,0.00011262636016850441
73,9.507978668647256e-05
74,0.00011049294615652421
75,9.428842361139237e-05
76,9.253352627153333e-05
77,0.00010034984602405395
78,9.511344297235381e-05
79,7.857493403214897e-05
80,0.0001040206496287861
81,7.752267950830647e-05
82,8.279238872696527e-05
83,9.752300696716382e-05
84,8.612885525364826e-05
85,8.63070594761989e-05
86,7.647262688267303e-05
87,8.25916339084479e-05
88,8.885707595932248e-05
89,8.05424554969333e-05
90,8.319749100557192e-05
91,9.410053451058198e-05
92,9.300510869773248e-05
93,9.597313643247943e-05
94,9.440099819921794e-05
95,6.158855094363032e-05
96,8.398102813292235e-05
97,7.315685737268346e-05
98,9.532657010472474e-05
99,8.50402352036647e-05
100,7.150450971425633e-05
101,7.360745073125976e-05
102,9.276664167405676e-05
103,8.713098764058405e-05
104,6.942652788207338e-05
105,7.139131466518511e-05
106,0.0
107,0.00010666010155980517
108,4.4753381979954194e-05
109,6.50136085027514e-05
110,8.17729082174748e-05
111,0.0
112,4.976802940176318e-05
113,7.22310904598033e-05
114,0.0
115,9.311510449766961e-05
116,9.550255648105967e-05
117,0.0
118,5.7971299373727e-05
119,0.0
120,8.611236918453431e-05
121,0.0
