,STD(phi_D)
0,6.135231894146254e-07
1,1.2157721574941162e-06
2,1.9343723701493497e-06
3,2.811739476254159e-06
4,3.7561111938048035e-06
5,4.872230189577103e-06
6,5.973390141969045e-06
7,7.146205438753305e-06
8,8.556190140388471e-06
9,9.892224171237652e-06
10,1.1230474479828765e-05
11,1.2608322528905249e-05
12,1.4158756532123721e-05
13,1.5773002976253365e-05
14,1.7131729349400562e-05
15,1.8846496595840996e-05
16,1.9907006912874798e-05
17,2.157532197039235e-05
18,2.3047224383694823e-05
19,2.404458688402862e-05
20,2.5849975286056585e-05
21,2.6883714233936334e-05
22,2.8381446342163135e-05
23,3.04180463930963e-05
24,3.137605643739855e-05
25,3.269639369963505e-05
26,3.3401708673014634e-05
27,3.4608317272180063e-05
28,3.6345611774751286e-05
29,3.7013338185742125e-05
30,3.907918603503083e-05
31,3.9740421521616645e-05
32,4.0863588337012624e-05
33,4.163773988074769e-05
34,4.23800137605991e-05
35,4.360420627227989e-05
36,4.4867751984370914e-05
37,4.48432392379823e-05
38,4.529313210176958e-05
39,4.7678172629448916e-05
40,4.714937350827857e-05
41,4.901492228971294e-05
42,4.885804385233655e-05
43,4.865341401875632e-05
44,5.0169169760404234e-05
45,5.091805614504922e-05
46,5.1132738292593976e-05
47,5.106531598591783e-05
48,5.134954305129331e-05
49,5.2172970129662985e-05
50,5.2125813838233485e-05
51,5.0963111227548344e-05
52,5.217472489920229e-05
53,5.2431518435772746e-05
54,5.349656991084064e-05
55,5.2071826194764624e-05
56,5.320808169693062e-05
57,5.325463175380952e-05
58,5.193967548762899e-05
59,5.342994659200157e-05
60,5.321857635391203e-05
61,5.2965383815641343e-05
62,5.414774771275897e-05
63,5.4957384373936694e-05
64,5.175851776226273e-05
65,5.284612381078918e-05
66,5.037572544305654e-05
67,5.337782991370868e-05
68,5.377299982064016e-05
69,5.049462775855149e-05
70,5.2252197600945054e-05
71,5.13134270874511e-05
72,5.339035489100283e-05
73,5.2690046769102336e-05
74,5.155661079191363e-05
75,4.917171242273441e-05
76,5.2294094207243804e-05
77,4.921427419901446e-05
78,4.753602718627959e-05
79,4.8320144691325244e-05
80,4.987583533619814e-05
81,4.752539806912981e-05
82,4.218493217426314e-05
83,4.577843216727155e-05
84,4.67871487943958e-05
85,4.480301893833051e-05
86,4.226781283046398e-05
87,4.4899584719186845e-05
88,4.6412928609632815e-05
89,4.071617736068671e-05
90,3.941264702068846e-05
91,3.324957130564259e-05
92,4.2010473259215446e-05
93,4.4534585492012516e-05
94,4.472001709976141e-05
95,3.8452389421245966e-05
96,4.042458666844661e-05
97,3.833114024832869e-05
98,3.858654805004548e-05
99,3.576631193004899e-05
100,3.094996856854477e-05
101,3.900889978371132e-05
102,3.785287085366529e-05
103,3.643309303629678e-05
104,3.469763476615459e-05
105,2.523685384224367e-05
106,3.177048731525528e-05
107,4.2142118884862753e-05
108,2.9592697067207305e-05
109,4.141540545395826e-05
110,4.08680455389567e-05
111,2.9680998028797894e-05
112,2.7815608864169973e-05
113,4.0362249262651126e-05
114,3.465558204508459e-05
115,3.2916220883923695e-05
116,2.3875639120264918e-05
117,2.4482618197937276e-05
118,2.0494924525090023e-05
119,2.9705800477981437e-05
120,3.0442274803871184e-05
121,3.119082221118226e-05
