,STD(phi_D)
0,9.781285669681592e-07
1,1.91102464476842e-06
2,3.0688867807634785e-06
3,4.501838335992667e-06
4,6.029084055569748e-06
5,7.877171039351028e-06
6,9.614767494169367e-06
7,1.169471006370366e-05
8,1.3652763134269714e-05
9,1.598748339008288e-05
10,1.7992294270261418e-05
11,2.010319412469179e-05
12,2.2622906936108212e-05
13,2.4907032026028165e-05
14,2.7546628767715452e-05
15,2.9826388211972902e-05
16,3.2109759011730515e-05
17,3.467762394577669e-05
18,3.697448976958285e-05
19,3.9271748638327766e-05
20,4.136881067818486e-05
21,4.455026402234237e-05
22,4.604521909281489e-05
23,4.804859844446078e-05
24,5.000216180472462e-05
25,5.253924216810086e-05
26,5.3936660114371286e-05
27,5.572224088615691e-05
28,5.72572424399598e-05
29,6.008498888682489e-05
30,6.265075137101007e-05
31,6.347039526717969e-05
32,6.511304094134913e-05
33,6.6267801271198e-05
34,6.930998944717222e-05
35,6.945458947308745e-05
36,7.132214015841259e-05
37,7.058976097900824e-05
38,7.229430210534848e-05
39,7.346614450813639e-05
40,7.62784152768458e-05
41,7.717732078897013e-05
42,7.625948664564846e-05
43,7.736163849510117e-05
44,7.845612239213637e-05
45,7.811718308864717e-05
46,8.276443060558992e-05
47,8.275430197495877e-05
48,7.913898890163358e-05
49,8.30310059504882e-05
50,8.208382223793375e-05
51,8.61849224938266e-05
52,8.408587022658677e-05
53,8.370469975939672e-05
54,8.599783689846623e-05
55,8.373189388216963e-05
56,8.359779258147954e-05
57,8.246694149471495e-05
58,8.316705721677297e-05
59,8.845216436836352e-05
60,8.46278491205694e-05
61,8.674889926869109e-05
62,8.902580246866328e-05
63,8.837589687937856e-05
64,8.625558955509168e-05
65,8.34061795000198e-05
66,7.763924741301451e-05
67,8.649071425883725e-05
68,8.839895032562717e-05
69,8.226580336185485e-05
70,8.26558710502528e-05
71,8.102903848362429e-05
72,9.132639934655071e-05
73,9.192967812116195e-05
74,8.464904437658522e-05
75,8.108117632293408e-05
76,7.841348638539845e-05
77,7.256150947785994e-05
78,8.005403567116962e-05
79,8.145105489168337e-05
80,7.744682121150787e-05
81,6.900858409731461e-05
82,7.034343911338031e-05
83,6.0982767017299325e-05
84,8.14496167596549e-05
85,7.67493996759638e-05
86,8.074894187391916e-05
87,7.153510717704094e-05
88,5.231667563263884e-05
89,8.14420228677539e-05
90,6.519692659569582e-05
91,7.16633606757167e-05
92,6.470213784819142e-05
93,6.928386574272409e-05
94,6.617648662309998e-05
95,7.628804838704224e-05
96,7.035485742857223e-05
97,5.5393088115179246e-05
98,6.1009004867023835e-05
99,7.694652632029951e-05
100,6.052952299683548e-05
101,2.3557918540307663e-05
102,5.937065067139632e-05
103,5.5763832089973775e-05
104,5.130421726568881e-05
105,3.7307954990077415e-05
106,6.64176346989117e-05
107,5.574164595090275e-05
108,7.014114445383642e-05
109,6.577927508152926e-05
110,7.99265206621278e-05
111,7.598335495372262e-05
112,5.516296585450049e-05
113,3.2689694770116206e-05
114,3.354242698414895e-05
115,3.4409861116649424e-05
116,3.529212282504042e-05
117,3.618933776674479e-05
118,6.425548381830512e-05
119,6.586179746590815e-05
120,3.89719585659659e-05
121,3.9930243015151614e-05
