,STD(phi_D)
0,8.137250186983121e-07
1,1.5972201416733707e-06
2,2.5686055044085866e-06
3,3.754378725362999e-06
4,5.0060905937808054e-06
5,6.5283611094935656e-06
6,7.949583034946072e-06
7,9.810600622675342e-06
8,1.1361347075421046e-05
9,1.3112617502019784e-05
10,1.5033771682259546e-05
11,1.6729792121896293e-05
12,1.885531370190524e-05
13,2.0428930113978758e-05
14,2.271479397018954e-05
15,2.4877248786967e-05
16,2.657969490052523e-05
17,2.877136269512562e-05
18,3.0450288093404982e-05
19,3.2268050995918476e-05
20,3.443634331720679e-05
21,3.629458308949374e-05
22,3.812896692824241e-05
23,4.079729609718093e-05
24,4.160566637431835e-05
25,4.3821060713407405e-05
26,4.4652079002152116e-05
27,4.679069641178831e-05
28,4.8358844371926017e-05
29,4.991980532945579e-05
30,5.159671906408706e-05
31,5.3520285666254536e-05
32,5.3943655872729515e-05
33,5.563533122962894e-05
34,5.7420534218603025e-05
35,5.849096452539791e-05
36,6.009323186913919e-05
37,6.039678507859444e-05
38,6.116555223826758e-05
39,6.166737371140385e-05
40,6.31838719975763e-05
41,6.446313552711488e-05
42,6.545984160036134e-05
43,6.565935248817878e-05
44,6.475277831715349e-05
45,6.698096195703036e-05
46,6.728029024787984e-05
47,7.006986719139143e-05
48,6.823045915773895e-05
49,6.929238260068612e-05
50,6.66774696532303e-05
51,7.087669879618687e-05
52,6.850110652096108e-05
53,6.910833923060184e-05
54,7.159090255891388e-05
55,7.123119487339361e-05
56,7.200608290443079e-05
57,7.083552319943708e-05
58,7.153078945746007e-05
59,7.009552824975377e-05
60,7.341593183150761e-05
61,7.02518018755347e-05
62,7.08997798903939e-05
63,7.675884736307858e-05
64,6.948197959887811e-05
65,6.830382123333118e-05
66,6.558013658013353e-05
67,7.305779009721366e-05
68,7.167448211301607e-05
69,7.411479556423027e-05
70,7.059834225198124e-05
71,6.877027191640512e-05
72,6.224814653795015e-05
73,6.691862522790046e-05
74,6.237472951553885e-05
75,5.954918458792844e-05
76,5.762593824175518e-05
77,6.509279811757884e-05
78,6.115741182245657e-05
79,6.54336912334304e-05
80,6.36900282312649e-05
81,7.084460635870356e-05
82,6.044085965724113e-05
83,5.4634144750457415e-05
84,5.1501779659428815e-05
85,6.098305894019411e-05
86,6.709105525734552e-05
87,5.701537786725893e-05
88,5.79149184424502e-05
89,5.541705526788266e-05
90,5.604138648078407e-05
91,5.911034898780905e-05
92,4.493204017235515e-05
93,5.143066006900279e-05
94,5.137253402655225e-05
95,4.932459746773499e-05
96,5.982004572402277e-05
97,6.165114642396083e-05
98,5.399449006749403e-05
99,6.358455454230932e-05
100,6.150741282938398e-05
101,4.905935946815755e-05
102,5.5811200962220035e-05
103,3.8724883395815135e-05
104,5.037541776445367e-05
105,2.5908302076442653e-05
106,3.261903350026391e-05
107,6.416992418159147e-05
108,6.287062851801232e-05
109,5.0037486656386666e-05
110,3.6343514763322125e-05
111,4.308774788624065e-05
112,2.2119124178561408e-05
113,4.53955423022478e-05
114,0.0
115,4.138449088785316e-05
116,3.465840479318766e-05
117,4.352465457411071e-05
118,3.643542137793782e-05
119,3.734626526452413e-05
120,2.7063860115254093e-05
121,4.802381423767897e-05
