Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,-0.041634079,-6.29E-05,1.73E-03
0.000226426,-0.037573036,0.018379182,1.75E-03
0.000452852,-0.026089175,0.033392277,1.80E-03
0.000679279,-0.009310243,0.042163864,1.86E-03
0.000905705,0.00964807,0.043031942,1.94E-03
0.001132131,0.027286544,0.035796128,2.03E-03
0.001358557,0.040234793,0.021784196,2.09E-03
0.001584983,0.046088848,0.00353701,2.14E-03
0.001811409,0.043686509,-0.015561067,2.15E-03
0.002037836,0.033394434,-0.031940244,2.14E-03
0.002264262,0.017051313,-0.042494591,2.10E-03
0.002490688,-0.002350091,-0.045160085,2.04E-03
0.002717114,-0.021199208,-0.039312616,1.99E-03
0.00294354,-0.035922244,-0.025907474,1.96E-03
0.003169966,-0.043650392,-0.007349753,1.96E-03
0.003396393,-0.042880803,0.012984389,2.01E-03
0.003622819,-0.033398364,0.031303648,2.10E-03
0.003849245,-0.01688874,0.044075321,2.23E-03
0.004075671,0.003735554,0.048773848,2.39E-03
0.004302097,0.024711477,0.044313714,2.57E-03
0.004528524,0.042114046,0.031289604,2.75E-03
0.00475495,0.052580379,0.011905451,2.91E-03
0.004981376,0.053943474,-0.010383373,3.02E-03
0.005207802,0.045664318,-0.031466018,3.08E-03
0.005434228,0.028987303,-0.047307175,3.08E-03
0.005660654,0.006782813,-0.054692015,3.04E-03
0.005887081,-0.016909231,-0.051860411,2.98E-03
0.006113507,-0.037596401,-0.03891176,2.93E-03
0.006339933,-0.051146247,-0.017832065,2.93E-03
0.006566359,-0.05456575,0.007769438,3.04E-03
0.006792785,-0.046612088,0.033090692,3.27E-03
0.007019211,-0.027973535,0.053608485,3.66E-03
0.007245638,-0.001680319,0.06468381,4.19E-03
0.007472064,0.027792167,0.063795693,4.84E-03
0.00769849,0.055102743,0.050364647,5.57E-03
0.007924916,0.074993767,0.026131533,6.31E-03
0.008151342,0.083262965,-0.005024624,6.96E-03
0.008377768,0.077595927,-0.037648998,7.44E-03
0.008604194,0.058122054,-0.065571077,7.68E-03
