Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,-0.042431586,-6.09E-05,1.80E-03
0.000226516,-0.038306464,0.018688854,1.82E-03
0.000453031,-0.026642883,0.033959843,1.86E-03
0.000679547,-0.009596967,0.042898275,1.93E-03
0.000906063,0.009673353,0.04381473,2.01E-03
0.001132579,0.027619759,0.036510754,2.10E-03
0.001359094,0.040822685,0.022301022,2.16E-03
0.00158561,0.046834305,0.003774443,2.21E-03
0.001812126,0.044468116,-0.015644224,2.22E-03
0.002038641,0.034082841,-0.032334637,2.21E-03
0.002265157,0.017530361,-0.043140747,2.17E-03
0.002491673,-0.002164935,-0.045957066,2.12E-03
0.002718188,-0.021346621,-0.040133517,2.07E-03
0.002944704,-0.036388736,-0.026619766,2.03E-03
0.00317122,-0.04437127,-0.007832554,2.03E-03
0.003397736,-0.043742813,0.012814226,2.08E-03
0.003624251,-0.034271769,0.031482071,2.17E-03
0.003850767,-0.017633287,0.044583049,2.30E-03
0.004077283,0.003242537,0.049537774,2.46E-03
0.004303798,0.024555292,0.045216423,2.65E-03
0.004530314,0.042328134,0.032186881,2.83E-03
0.00475683,0.053139079,0.012648752,2.98E-03
0.004983346,0.054763615,-0.009923302,3.10E-03
0.005209861,0.046616044,-0.031377554,3.16E-03
0.005436377,0.029913662,-0.047621723,3.16E-03
0.005662893,0.007522583,-0.055377036,3.12E-03
0.005889408,-0.016495992,-0.052821424,3.06E-03
0.006115924,-0.037603989,-0.040000722,3.01E-03
0.00634244,-0.051603116,-0.018872738,3.02E-03
0.006568955,-0.055430666,0.00695537,3.12E-03
0.006795471,-0.047767818,0.032651331,3.35E-03
0.007021987,-0.029307459,0.053470925,3.72E-03
0.007248502,-0.002888172,0.065222278,4.26E-03
0.007475018,0.026856931,0.064780161,4.92E-03
0.007701534,0.054607518,0.051660925,5.65E-03
0.00792805,0.075044639,0.027543297,6.39E-03
0.008154565,0.083882526,-0.003728405,7.05E-03
0.008381081,0.078713298,-0.036699757,7.54E-03
0.008607596,0.059576068,-0.065164745,7.80E-03
0.008834112,0.029182054,-0.083225258,7.78E-03
0.009060628,-0.007425649,-0.086416863,7.52E-03
0.009287143,-0.04345442,-0.072490834,7.14E-03
0.009513659,-0.071335979,-0.042175718,6.87E-03
0.009740175,-0.084007107,0.000609946,7.06E-03
0.009966691,-0.076222345,0.049035147,8.21E-03
0.010193206,-0.045628578,0.09418866,1.10E-02
0.010419722,0.006380689,0.126465335,1.60E-02
0.010646238,0.074926287,0.13715373,2.44E-02
0.010872753,0.150377765,0.119120553,3.68E-02
0.011099269,0.221930489,0.069719166,5.41E-02
0.011325785,0.277564257,-0.009665474,7.71E-02
0.0115523,0.30599612,-0.112777069,1.06E-01
0.011778816,0.299118221,-0.230774716,1.43E-01
0.012005332,0.251455992,-0.350853622,1.86E-01
0.012231848,0.162386835,-0.459247351,2.37E-01
0.012458363,0.035905667,-0.542393625,2.95E-01
0.012684879,-0.119724795,-0.5883618,3.61E-01
0.012911395,-0.292683721,-0.588080585,4.32E-01
0.01313791,-0.46864602,-0.536474526,5.07E-01
0.013364426,-0.632026494,-0.433162421,5.87E-01
0.013590942,-0.767476737,-0.282598436,6.69E-01
0.013817457,-0.861452937,-0.093816325,7.51E-01
0.014043973,-0.903624475,0.120282099,8.31E-01
0.014270489,-0.887993038,0.344095588,9.07E-01
0.014497004,-0.81357944,0.560842752,9.76E-01
0.01472352,-0.684554398,0.754270554,1.04E+00
0.014950036,-0.509763658,0.910340726,1.09E+00
0.015176552,-0.301732123,1.01866972,1.13E+00
0.015403067,-0.075247034,1.07338607,1.16E+00
0.015629583,0.154543802,1.07368088,1.18E+00
0.015856099,0.372279197,1.0265007,1.19E+00
0.016082614,0.559229493,0.924789011,1.17E+00
0.01630913,0.723040164,0.789933264,1.15E+00
0.016535646,0.849516809,0.631887913,1.12E+00
0.016762161,0.937466264,0.460225791,1.09E+00
0.016988678,0.988458574,0.284243852,1.06E+00
0.017215192,1.00613582,0.111506946,1.02E+00
0.017441708,0.995328724,-0.052596971,9.93E-01
0.017668224,0.961159706,-0.204861149,9.66E-01
0.01789474,0.908273637,-0.3439354,9.43E-01
0.018121256,0.840281188,-0.469759017,9.27E-01
0.018347772,0.759445727,-0.58272934,9.16E-01
0.018574286,0.667507172,-0.68269372,9.12E-01
0.018800802,0.564906776,-0.779289961,9.26E-01
0.019027318,0.455032259,-0.844780564,9.21E-01
0.019253834,0.338881075,-0.907843471,9.39E-01
