Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,-0.042037059,-5.77E-05,1.77E-03
0.000226517,-0.03793991,0.018542225,1.78E-03
0.000453033,-0.026360175,0.033685442,1.83E-03
0.00067955,-0.009441369,0.042537548,1.90E-03
0.000906066,0.009677025,0.043422587,1.98E-03
0.001132583,0.027473895,0.036158707,2.06E-03
0.001359099,0.040548556,0.022032859,2.13E-03
0.001585616,0.046474271,0.003637268,2.17E-03
0.001812132,0.044079818,-0.015625762,2.19E-03
0.002038649,0.033729501,-0.032160018,2.17E-03
0.002265165,0.017270947,-0.042833865,2.13E-03
0.002491682,-0.002284611,-0.045563549,2.08E-03
0.002718198,-0.021301391,-0.039714005,2.03E-03
0.002944715,-0.036178973,-0.026240919,2.00E-03
0.003171231,-0.044023689,-0.007556058,2.00E-03
0.003397748,-0.043303043,0.0129397,2.04E-03
0.003624264,-0.033807255,0.03142963,2.13E-03
0.003850781,-0.017215995,0.044353459,2.26E-03
0.004077297,0.003544978,0.049160767,2.43E-03
0.004303814,0.024690371,0.04474669,2.61E-03
0.00453033,0.042268004,0.031696886,2.79E-03
0.004756847,0.052886326,0.012218137,2.95E-03
0.004983364,0.0543526,-0.010220124,3.06E-03
0.00520988,0.046109527,-0.031483509,3.12E-03
0.005436397,0.029393718,-0.047507864,3.12E-03
0.005662913,0.007079597,-0.055048753,3.08E-03
0.00588943,-0.016779121,-0.052320577,3.02E-03
0.006115946,-0.037664514,-0.039399404,2.97E-03
0.006342463,-0.051409889,-0.018266011,2.98E-03
0.006568979,-0.054992504,0.007464071,3.08E-03
0.006795496,-0.047136989,0.032968108,3.31E-03
0.007022012,-0.028571533,0.05352423,3.68E-03
0.007248529,-0.00215697,0.064977944,4.23E-03
0.007475045,0.027459938,0.064258568,4.88E-03
0.007701562,0.054973915,0.050928172,5.62E-03
0.007928078,0.075097479,0.026707355,6.35E-03
0.008154595,0.083591715,-0.004532289,7.01E-03
0.008381111,0.078104757,-0.037328146,7.49E-03
0.008607627,0.058734272,-0.065487906,7.74E-03
0.008834144,0.028241105,-0.083154008,7.71E-03
0.00906066,-0.008298513,-0.085910797,7.45E-03
0.009287177,-0.044074375,-0.071579896,7.07E-03
0.009513693,-0.071531102,-0.040964369,6.79E-03
0.00974021,-0.08364743,0.001948642,7.00E-03
0.009966727,-0.075247295,0.050276727,8.19E-03
0.010193243,-0.044067964,0.095084123,1.10E-02
0.01041976,0.008400702,0.126777276,1.61E-02
0.010646276,0.077191934,0.136686683,2.46E-02
0.010872793,0.152599379,0.117783166,3.72E-02
0.011099309,0.223789856,0.067520075,5.46E-02
0.011325826,0.278754473,-0.012603666,7.79E-02
0.011552342,0.306277275,-0.116226353,1.07E-01
0.011778859,0.298310429,-0.234430835,1.44E-01
0.012005375,0.249495596,-0.354366452,1.88E-01
0.012231892,0.159326777,-0.46225813,2.39E-01
0.012458408,0.031906784,-0.544571221,2.98E-01
0.012684925,-0.124405824,-0.589429498,3.63E-01
0.012911441,-0.297712237,-0.587842464,4.34E-01
0.013137958,-0.473636001,-0.534839749,5.10E-01
0.013364474,-0.636571348,-0.43015933,5.90E-01
0.013590991,-0.771184862,-0.278377891,6.72E-01
0.013817507,-0.863987029,-0.088645443,7.54E-01
0.014044024,-0.904737651,0.126038715,8.34E-01
0.01427054,-0.887559175,0.350007355,9.10E-01
0.014497057,-0.811612248,0.566455722,9.80E-01
0.014723573,-0.681209564,0.759155333,1.04E+00
0.01495009,-0.505322874,0.914142013,1.09E+00
